title,state,date,season,precip_type,number,temperature,dew_point,humidity,visibility,uv_index
Report 65641: Knocks north of Welcome along North Fork of Nooksack River,Washington,2017-08-19,Summer,rain,65641,61.825,51.64,0.68,5.428,6
"Report 62354: Son and father observe possible bigfoot family 17mi NE of Bellingham, near Sumas Mountain. See map.",Washington,2018-09-15,Summer,rain,62354,50.665,48.49,0.97,4.05,3
Report 1689: A tall black creature covered with hair and very muscular was seen walking quickly across a clearing,Washington,1941-10-15,Fall,NA,1689,NA,NA,NA,NA,NA
Report 1686: Woman sees bigfoot on two occasions along the same road,Washington,1996-08-30,Summer,NA,1686,63.3,48.96,0.58,9.95,7
Report 1690: Hunters hear unusual animal stalking them at night.,Washington,1996-11-01,Fall,NA,1690,21.72,17.75,0.97,8.63,2
Report 1462: Sound heard month earlier than another report in same area,Washington,2000-06-13,Summer,rain,1462,50.175,44.19,0.92,3.04,5
Report 382: Campers hear screams and wood knocking near Bumping Lake,Washington,2000-07-21,Summer,NA,382,66.125,55.23,0.74,7.95,9
Report 2268: Three campers near Bumping Lake hear vocalizations from Nelson Ridge,Washington,2000-07-25,Summer,NA,2268,NA,NA,NA,NA,NA
Report 1438: Barefoot tracks and whistling heard while hunting,Washington,2000-10-28,Winter,snow,1438,34.69,32.1,0.95,7.99,2
Report 3038: Evening sighting by motorist near Glenwood,Washington,2001-06-11,Summer,NA,3038,NA,NA,NA,NA,NA
Report 3759: Elk hunters encounter large animal and hear vocalizations near Rimrock Lake,Washington,2001-10-29,Fall,snow,3759,33.465,28.9,0.96,9.85,2
Report 6347: Daylight sighting by residents near Yakima River,Washington,2003-07-21,Summer,NA,6347,77.02,46.09,0.35,10,9
"Report 7117: Hunter sees bigfoot cross road behind him west of Nile, WA",Washington,2003-11-07,Fall,NA,7117,31.69,15.51,0.62,9.89,2
Report 11702: Campers hear scream and witness rock throwing at Twin Sister Lakes,Washington,2005-07-08,Summer,rain,11702,47.09,46.79,0.94,NA,0
Report 26065: California BFRO researcher has sighting with a thermal imaging unit in Wenatchee National Forest,Washington,2007-08-18,Summer,rain,26065,45.46,40.86,0.87,5.93,8
Report 25999: Hunter reports hearing loud wood knocking NW of Tieton,Washington,2008-10-05,Fall,rain,25999,37.09,33.94,0.97,NA,0
NA,Washington,NA,Summer,NA,26447,NA,NA,NA,NA,NA
NA,Washington,NA,Summer,NA,30526,NA,NA,NA,NA,NA
Report 45360: Campers sleeping inside their tent hear clacking and are touched near Bumping Lake,Washington,2014-06-08,Spring,NA,45360,57.77,42.91,0.61,10,7
"Report 46546: Mother and son, while backpacking, experience a possible night-time camp approach near Natches",Washington,2014-09-15,Summer,NA,46546,62.084999999999994,33.46,0.42,NA,0
"Report 62332: Morning snowmobilers hear howls, tree knocks, branch break 8mi south of Rimrock Lake",Washington,2018-12-31,Winter,NA,62332,24.115,17.58,0.82,NA,0
Report 63077: Camper hears Ohio howls at 4-5am near Rimrock Lake.,Washington,2019-06-22,Summer,NA,63077,54.69,41.23,0.64,NA,NA
Report 1809: Two witnesses see a crouched figure on the beach. It stood up and walked into the nearby woods,Washington,1973-05-19,Spring,NA,1809,51.41,42.68,0.7,9.93,5
Report 55451: Homeowner recalls early morning sighting near Malo,Washington,1993-10-15,Fall,NA,55451,NA,NA,NA,NA,NA
"Report 925: Backpacker observes a tall, early morning visitor in camp",Washington,1968-08-30,Summer,NA,925,NA,NA,NA,9,7
"Report 1973: Teen hunter sees a sasquatch at a distance while bird hunting, and found tracks five years before",Washington,1967-03-15,Spring,NA,1973,NA,NA,NA,NA,NA
Report 10609: Hiker finds large footprints in Northern Highlands State Forest.,Wisconsin,1991-07-20,Summer,rain,10609,NA,66.08,0.81,5.96,5
"Report 9717: Man hears footsteps, inexplicable noise in Vilas County",Wisconsin,2001-10-15,Fall,rain,9717,38.295,36.7,0.87,NA,2
NA,Wisconsin,NA,Winter,NA,34344,NA,NA,NA,NA,NA
Report 41514: Friends enjoying a late night together are startled by a eerie howl near Eagle River,Wisconsin,2013-06-26,Summer,rain,41514,74.775,65.73,0.86,7.57,6
Report 43295: Family discovers possible snow tracks in their yard near Land O' Lakes,Wisconsin,2013-12-15,Fall,NA,43295,-8.455,-4.98,0.74,8.64,1
"Report 71733: Sighting, photos and video (distant) of a probable Sasquatch near Lac Du Flambeau Indian Rez",Wisconsin,2021-10-17,Fall,NA,71733,47.34,33.72,0.62,10,3
Report 16564: Deer carcass nabbed from pickup truck in Erin (Hwy 167 at Station Way),Wisconsin,2006-11-09,Fall,NA,16564,48.095,38.71,0.63,9.59,2
Report 59229: Knocks returned in the afternoon while hiking at Loew Lake,Wisconsin,2018-03-25,Spring,NA,59229,31.905,17.47,0.6,10,6
Report 69467: Motorist sighting of a sasquatch LAST NIGHT 25 miles northwest of Milwaukee,Wisconsin,2021-07-18,Summer,NA,69467,69.135,60.48,0.74,10,9
"Report 9295: Possible sighting by child, and other incidents near Menomonee Falls",Wisconsin,1997-08-15,Summer,rain,9295,75.145,66.67,0.83,8.36,7
Report 28008: Possible nighttime sighting while driving next to Kettle Moraine State Forest,Wisconsin,2010-07-05,Summer,rain,28008,79.225,69.45,0.73,9.84,8
NA,Washington,NA,Summer,NA,7614,NA,NA,NA,NA,NA
"Report 927: Campers hear loud animal ""roars"", from inside the treeline of a clear-cut",Washington,1975-08-10,Summer,NA,927,NA,NA,NA,NA,NA
Report 928: Hikers find tracks and a possible nest,Washington,1977-05-22,Spring,rain,928,59.245,30.85,0.43,10,9
Report 31427: Memory of a possible night-time sighting as a youth playing 'Hide and Go Seek' in Holden Village,Washington,1978-08-15,Summer,NA,31427,NA,NA,NA,NA,NA
Report 1109: Campers hear vocalizations near Clear Lake,Washington,2000-07-15,Summer,rain,1109,60.725,40.46,0.49,10,9
Report 5162: Man hunting deer finds unusual feces and hears animal,Washington,2002-10-17,Fall,NA,5162,55.455,32.77,0.4,10,3
Report 11554: Two neighbors hear mournful screams from nearby Nason Ridge,Washington,2004-08-11,Summer,NA,11554,79.30000000000001,44.57,0.32,NA,0
NA,Washington,NA,Summer,NA,9277,NA,NA,NA,NA,NA
Report 2070: Two men see something walk up and over ridge behind home,Washington,2004-10-17,Winter,rain,2070,44.69,44.76,0.92,9.35,2
Report 5186: Campers hear loud vocalizations at Fish lake.,Washington,2005-01-20,Summer,rain,5186,44.03,34.93,0.74,NA,0
Report 11313: Turkey hunters surprised by loud vocalizations near Wenatchee,Washington,2005-04-17,Spring,NA,11313,42.31,27.84,0.57,10,6
NA,Washington,NA,Summer,NA,21659,NA,NA,NA,NA,NA
Report 13063: Train engineer reports track find and vocalizations on Stevens Pass,Washington,2005-12-03,Winter,NA,13063,26.589999999999996,19.29,0.71,NA,0
Report 14534: Multiple witness sighting in daylight in a remote area near Holden,Washington,2006-07-25,Summer,NA,14534,69.99,42.95,0.39,NA,0
Report 21189: Daylight sighting by boaters where Holden Creek flows into Lake Chelan,Washington,2007-08-23,Summer,NA,21189,69.845,46.48,0.46,NA,0
NA,Washington,NA,Summer,NA,25280,NA,NA,NA,NA,NA
Report 36726: Possible nighttime encounter at a couple's campsite near Plain,Washington,2012-09-22,Summer,NA,36726,51.325,43.9,0.76,5.61,0
Report 45726: Dirt bike riders hear possible knocks north of Lake Wenatchee,Washington,2014-06-22,Summer,NA,45726,67.84,39.85,0.45,NA,0
"Report 47014: Hikers hear ""weird vocal exchange"" from unknowns near Lake Ann",Washington,2014-09-06,Summer,NA,47014,49.845,40.4,0.79,NA,0
Report 48932: Snowplow driver has possible night-time sighting near Coles Corner,Washington,2014-12-15,Winter,NA,48932,32.620000000000005,26.92,0.86,NA,0
Report 56827: Motorist has daytime sighting along the highway near Coles Corner,Washington,2016-10-02,Fall,NA,56827,51.64,36.3,0.66,NA,0
Report 69049: Cabin renters report wood knocks and rock throwing near Leavenworth,Washington,2021-05-21,Spring,rain,69049,53.275,41.72,0.71,10,4
"Report 69270: Possible Sasquatch howls north of Leavenworth, east of Lake Wenatchee",Washington,2021-05-31,Spring,rain,69270,67.89,52.72,0.63,10,7
Report 1723: Mt. Olympus Incident,Washington,1948-05-15,Unknown,NA,1723,NA,NA,NA,NA,NA
Report 13816: Possible encounter with soldier training training in the Olympic National Forest,Washington,1966-05-01,Spring,NA,13816,NA,NA,NA,NA,NA
"Report 1504: Nighttime sighting by motorist on Hwy 101 (Coast Highway), 7-8 miles east of Port Angeles",Washington,1982-07-03,Summer,rain,1504,53.31,50.79,0.9,NA,4
Report 31009: Woman recalls afternoon sighting as a child near Port Angeles,Washington,1983-09-24,Fall,rain,31009,NA,NA,NA,NA,3
Report 930: Sighting by a school group on summer field trip,Washington,1984-07-18,Summer,NA,930,55.055,45.54,0.72,8.75,9
"Report 929: Camper experiences odd odors and sounds, feels presence",Washington,1997-05-15,Unknown,rain,929,NA,51.47,0.73,9.81,5
Report 1106: French hiker observes two bigfoot in Olympic National Park,Washington,2001-01-04,Fall,snow,1106,28.66,27.18,1,3.49,1
Report 9510: Family and friends hear a late night vocalization from their home near Lake Sutherland,Washington,2004-09-20,Fall,NA,9510,54.39,42.71,0.72,10,5
Report 10091: Series of vocalizations around the town of Joyce,Washington,2004-10-11,Fall,NA,10091,56.885,52.14,0.9,10,3
Report 6058: Sol Duc River fisherman experiences large animal crashing through heavy brush,Washington,2005-04-05,Fall,rain,6058,47.75,39.04,0.74,8.96,4
NA,Washington,NA,Summer,NA,26450,NA,NA,NA,NA,NA
Report 28087: Possible nighttime encounter while camping at Shi Shi Beach,Washington,2010-08-25,Summer,NA,28087,56.19,51.29,0.83,7.87,7
Report 28739: Hikers find large barefoot prints on the Elwha River Trail,Washington,2011-01-16,Winter,rain,28739,46.795,45.64,0.94,9.5,1
Report 35409: Daytime road crossing near Forks,Washington,2011-09-04,Fall,NA,35409,63.425,46.19,0.61,10,6
"Report 65667: ""Ohio howls"" at Ozette Lake in NW corner of Olympic Pennisula",Washington,2020-06-30,Summer,rain,65667,56.82,51.52,0.85,9.488,4
Report 2744: Large figure crosses the road in dawn hours near Battleground,Washington,1984-01-15,Winter,NA,2744,31.335,17.57,0.52,10,1
"Report 937: Witnesses hear odd, loud vocalization while in the forest traveling on a logging road",Washington,1985-06-28,Summer,NA,937,63.510000000000005,43.96,0.6,10,10
Report 933: Family has face to face encounter with sasquatch in their back yard,Washington,1989-06-14,Summer,rain,933,56.15,56.94,0.97,7.67,4
"Report 8375: While constructing ""fort,"" young teenager has afternoon sighting in Amboy off Rotschy Road",Washington,1993-02-15,Winter,NA,8375,30.25,15.46,0.47,10,3
Report 28123: Teenager recounts his sighting as a very young boy on his property near Yacolt,Washington,1995-08-15,Summer,rain,28123,59.325,51.96,0.74,10,5
"Report 6806: Man approached by Sasquatch, south of Yacolt, WA",Washington,2003-11-05,Summer,NA,6806,37.945,21.73,0.54,10,2
Report 61157: Campers describe early AM approach near Coldwater Creek Campground outside Yacolt,Washington,2018-05-25,Spring,NA,61157,55.405,48.94,0.76,10,7
Report 938: Unusual tracks found.,Washington,1991-09-15,Fall,rain,938,63.599999999999994,35.85,0.43,10,6
"Report 939: Large, bipedal creature looking in the cabin window",Washington,2000-01-24,Winter,NA,939,NA,NA,NA,NA,NA
Report 89: Fishermen hear large animal crashing through the brush in the Blue Mountains,Washington,2000-07-24,Summer,NA,89,NA,NA,NA,NA,NA
"Report 4353: Young man encounters two large, upright animals near the Columbia River, west of Longview",Washington,1952-07-01,Summer,rain,4353,55.61,48.69,0.71,10,5
Report 4669: Memory told of hearing possible vocalizations while camping at Hollywood Gorge near Castle Rock,Washington,1970-07-01,Summer,NA,4669,NA,NA,NA,NA,NA
Report 1612: Screams terrify campers near Mt. St. Helens,Washington,1972-08-15,Summer,NA,1612,NA,NA,NA,NA,NA
Report 33867: Memory told of a possible encounter while fishing near Salkum,Washington,1981-05-15,Spring,rain,33867,NA,43.57,0.76,9.73,4
Report 940: Creature stepping over a guardrail,Washington,1984-07-14,Summer,rain,940,NA,51.87,0.56,10,9
"Report 406: Fisherman observes large, bipedal figure along Kalama River",Washington,1984-09-01,Fall,rain,406,NA,47.15,0.62,9.87,6
"Report 63748: Elk hunters have morning sighting under power lines, near Lexington.",Washington,1991-10-27,Fall,NA,63748,42.315,38.77,0.9,9.796,2
Report 55658: Hunters on bikes have close encounter with a sasquatch near Randle,Washington,1998-10-15,Summer,NA,55658,NA,NA,NA,NA,NA
Report 7382: Various incidents along the Kalama River.,Washington,2001-07-15,Summer,rain,7382,57.26,49.21,0.76,10,4
"Report 4301: Elk hunter sees large, black animal walking upright along the Toutle River",Washington,2002-05-09,Spring,rain,4301,45.505,35.97,0.75,10,5
Report 4359: Motorists spot sasquatch and give chase near Mt. St. Helens,Washington,2002-05-18,Spring,rain,4359,55.79,42.63,0.67,10,8
Report 17240: Backpacker hears possible vocalizations near Mt. St. Helens,Washington,2006-07-05,Summer,NA,17240,NA,NA,NA,NA,NA
Report 62996: Motorists on highway to Mt. St. Helens see a Sasquatch standing in Toutle River,Washington,2006-07-15,Summer,NA,62996,61.05499999999999,51.8,0.69,9.881,7
Report 26567: Sasquatch sighted crossing Elk Meadows parking lot near Toutle Lake,Washington,2006-11-18,Fall,NA,26567,39.97,34.7,0.94,8.59,1
Report 20923: Group of climbers hear possible vocalizations near Cougar,Washington,2007-08-07,Summer,rain,20923,55.565,53.44,0.95,NA,0
Report 26580: Two hunters are followed by an unseen creature near Toutle,Washington,2009-09-12,Fall,NA,26580,72.275,54.15,0.56,9.9,6
Report 49092: Two motorists observe a young sasquatch on bridge outside Toutle along the route to Mt. St. Helens,Washington,2014-06-01,Summer,NA,49092,57.735,47.93,0.79,9.997,8
Report 66120: Vocals and track on Spencer Butte,Washington,2020-09-23,Fall,rain,66120,50.995000000000005,50.04,0.95,5.56,4
Report 26222: Woman recalls strange creature dashing across road north of Republic,Washington,1995-07-01,Summer,NA,26222,NA,NA,NA,NA,NA
NA,Washington,NA,Summer,NA,9286,NA,NA,NA,NA,NA
Report 26035: Possible vocalizations heard and large footprints found near Malo,Washington,2005-03-01,Spring,NA,26035,39.19,31.13,0.75,NA,0
Report 25722: Possible reoccurring activity at a hunting spot near Republic,Washington,2006-10-14,Fall,NA,25722,52.355,31.56,0.46,NA,0
Report 29045: Possible howls and footprints in Colville National Forest,Washington,2008-10-01,Fall,NA,29045,65.34,40.65,0.45,NA,0
Report 46025: Motorist has afternoon sighting on Sherman Creek Pass,Washington,2013-09-15,Fall,rain,46025,63.205,48.05,0.54,NA,0
NA,Washington,NA,Summer,NA,51469,NA,NA,NA,NA,NA
NA,Washington,NA,Spring,NA,57244,NA,NA,NA,NA,NA
Report 1226: Teens returning from baseball game were chased by bigfoot.,Washington,1972-08-31,Summer,NA,1226,NA,46.48,0.63,NA,6
Report 7003: Truck driver has brief roadside sighting,Washington,1978-06-21,Summer,NA,7003,NA,NA,NA,NA,NA
Report 2599: Grays Harbor County Sheriff's Department Offense report/summary,Washington,1982-06-02,Spring,rain,2599,NA,45.27,0.74,NA,7
Report 18823: Young Man Has Surprise Encounter at High School Graduation Party,Washington,1982-06-04,Spring,NA,18823,56.415,44.03,0.72,10,5
"Report 958: Family find fresh, barefooted, humanlike footprints.",Washington,1994-10-01,Fall,rain,958,NA,49.11,0.94,NA,4
Report 26101: Teacher sees a bigfoot cross the highway in front of her near Aberdeen,Washington,1995-01-15,Winter,rain,26101,45.125,43.99,0.96,NA,1
"Report 946: Unusual sounds heard, sighting of fast upright animal",Washington,1995-07-01,Summer,NA,946,67.9,50.97,0.58,8.39,6
Report 1227: Tracks found on an old logging trail.,Washington,1996-04-17,Spring,rain,1227,NA,41.9,0.84,NA,4
Report 1225: Creature seen crossing road,Washington,1997-07-03,Summer,rain,1225,NA,56.07,0.67,10,8
Report 959: Sighting by a deer hunter on a logging road.,Washington,1997-10-15,Fall,rain,959,60.89,54.56,0.88,9.41,2
Report 7455: Hunting couple has visual and auditory encounter near coast,Washington,1999-10-15,Fall,rain,7455,46.905,41.13,0.83,9.17,3
Report 1131: Hunter hears strange noises near Montesano,Washington,2000-12-01,Winter,rain,1131,46.42,42.88,0.9,8.59,1
NA,Washington,NA,Summer,NA,25339,NA,NA,NA,NA,NA
Report 28781: Two witnesses see strange quadruped from truck near Moclips,Washington,2002-08-01,Summer,rain,28781,55.875,48.36,0.82,8.25,8
Report 36326: Nighttime sighting by campers stopped on remote road near Wishkah,Washington,2004-07-15,Summer,rain,36326,64.3,55.57,0.83,9.75,5
Report 14112: Afternoon sighting by motorists near Quinault Fish Hatchery,Washington,2004-07-29,Summer,NA,14112,68.3,55.98,0.76,6.98,4
NA,Washington,NA,Summer,NA,9373,NA,NA,NA,NA,NA
Report 10062: Man Hears Evening Vocals in Prior Sighting Area,Washington,2004-12-18,Winter,rain,10062,52.195,47.07,0.91,8.91,1
Report 12876: Deer hunters hear wood knocks near Aberdeen,Washington,2005-10-15,Fall,rain,12876,55.129999999999995,51.54,0.88,9.91,2
Report 12594: Possible beach sighting at night by a tourist near Point Brown,Washington,2005-10-29,Summer,rain,12594,51.93,47.46,0.89,9.58,2
Report 12838: Night time sighting along B Street outside Aberdeen,Washington,2005-12-01,Summer,rain,12838,36.8,32.33,0.84,8.91,1
NA,Washington,NA,Fall,NA,24898,NA,NA,NA,NA,NA
NA,Washington,NA,Spring,NA,23493,NA,NA,NA,NA,NA
Report 23558: Friends lost on backroads west of Olympia are stunned by a creature with large green eyes,Washington,2008-04-05,Spring,rain,23558,39.815,35.21,0.95,9.88,4
NA,Washington,NA,Spring,NA,23796,NA,NA,NA,NA,NA
Report 24216: Possible vocalizations heard near a fish hatchery on the Humptulips River,Washington,2008-07-05,Summer,rain,24216,57.82,56.66,0.91,6.37,4
Report 24379: Daylight road-crossing sighting by the U.S. Postal Carrier for the town of Quinault Lake (w/ low quality cellphone photos),Washington,2008-07-14,Summer,NA,24379,61.96,47.4,0.65,NA,0
Report 41111: Woman standing on her elevated deck is approached from underneath by something large near Ocean Shores,Washington,2009-07-26,Summer,NA,41111,58.045,56.28,0.94,9.29,8
Report 28532: Hunter near Raymond hears what sounds like a sasquatch chasing and killing a deer,Washington,2010-11-17,Fall,rain,28532,43.58,43.1,0.93,7.35,1
Report 35669: Possible rock throwing incident while taking photos off of Hwy. 109 near Pacific Beach,Washington,2012-06-02,Spring,rain,35669,52.425,46.87,0.79,10,7
NA,Washington,NA,Winter,NA,40381,NA,NA,NA,NA,NA
Report 42448: Motorist has a close daylight sighting of a Sasquatch chasing a deer near Ocean Shores (Sketches included),Washington,2013-09-30,Fall,rain,42448,52.290000000000006,48.56,0.81,9.41,4
Report 46520: Homeowner has possible encounter while in his yard near Ocean Shores,Washington,2014-03-15,Spring,rain,46520,49.095,46.57,0.92,4.56,3
NA,Washington,NA,Winter,NA,47855,NA,NA,NA,NA,NA
"Report 65451: Sighting near Ocean City, Washington 2016",Washington,2016-10-01,Fall,rain,65451,53.745000000000005,49.76,0.93,6.777,3
Report 62714: Elk hunter reports trees being pushed over and vocalizations in the Colonel Bob Wilderness,Washington,2018-11-03,Fall,rain,62714,50.605,46.75,0.88,1.164,0
NA,Washington,NA,Spring,NA,27764,NA,NA,NA,NA,NA
Report 9047: Morning dog walkers hear repeated vocalizations and find scat near Oak Harbor,Washington,2002-10-15,Fall,rain,9047,52.565,43.45,0.74,8.93,3
Report 17903: Possible sighting by motorist on perimeter of Deception State Park,Washington,2007-10-20,Fall,rain,17903,49.8,43.16,0.83,9.71,2
Report 25621: Possible vocalizations heard on Camano Island,Washington,2009-03-19,Winter,rain,25621,48.31,42.58,0.85,10,3
Report 65807: Late night sighting on Highway 101 in between Forks and Kalaloch,Washington,1977-10-15,Fall,rain,65807,52.175,46.25,0.88,6.287,2
Report 25462: Man remembers an encounter while fly fishing at a remote lake in the Olympic Mountains near Hood Canal,Washington,1980-08-15,Summer,NA,25462,NA,NA,NA,NA,6
Report 941: Sighting by a hunter on the edge of a road,Washington,1981-09-15,Fall,NA,941,NA,NA,NA,NA,5
Report 40378: Fishermen recount having large rocks thrown at them while fishing Steelhead on the Duckabush River,Washington,1982-01-23,Winter,rain,40378,NA,49.43,0.97,4,1
Report 42408: Elk Hunter recalls observing what he thought was another hunter near Lake Quinault,Washington,1982-11-15,Fall,NA,42408,NA,NA,NA,NA,NA
Report 39025: Man remembers his daylight sighting of a bigfoot standing on a stump next to Discovery Bay,Washington,1986-09-15,Fall,rain,39025,53.84,46.28,0.84,7.89,4
Report 942: 17-18 inch tracks in the mud,Washington,1996-04-14,Spring,rain,942,57.465,37.61,0.59,10,6
Report 945: Creature with red glowing eyes seen,Washington,1999-03-19,Spring,NA,945,54.42,40.13,0.69,10,5
Report 6814: Couple Sees Large Animal and Hears Vocalizations and Knocks,Washington,2000-06-17,Summer,NA,6814,NA,NA,NA,NA,NA
Report 8978: Boys are chased on way home from bow hunting,Washington,2001-09-15,Fall,rain,8978,57.315,53.3,0.95,7.74,5
Report 6309: Man see's an upright animal walk across the road,Washington,2003-05-08,Spring,rain,6309,51.315,41.47,0.73,8.44,7
"Report 3613: Late at night, man hears powerful vocalizations south of Port Townsend",Washington,2004-10-10,Summer,rain,3613,55.7,51.61,0.89,9.96,3
Report 5299: Camping group has night time sighting near the Dosewallips River,Washington,2004-10-13,Spring,NA,5299,48.485,45.57,1,10,3
Report 11040: Vocalizations heard by expeditioners on Olympic Peninsula.,Washington,2004-10-21,Fall,rain,11040,50.965,43.66,0.78,9.12,2
Report 12098: Hoh Rain Forest print photographed,Washington,2005-09-15,Spring,NA,12098,55.445,44.53,0.67,9.75,4
"Report 12844: Hiker photographs track on trail in Hoh River rainforest, on the Olympic Peninsula",Washington,2006-02-23,Summer,rain,12844,34.65,30.94,0.75,9.33,3
Report 23068: Unknown animal heard crashing through property near Blyn and Sequim Bay,Washington,2008-06-01,Spring,NA,23068,50.09,43.67,0.79,10,4
Report 42304: Camper photographs possible footprints at Lena Lake in the Buckhorn Wilderness,Washington,2013-09-21,Fall,rain,42304,52.11,50.41,0.97,9.67,4
Report 46477: For two nights campers are scared by loud vocalizations near Brinnon,Washington,2014-09-08,Summer,NA,46477,58.864999999999995,54.79,0.9,10,4
Report 57781: Couple visiting the Hoh River rainforest see a sasquatch cross the road near Bogachiel,Washington,2017-02-25,Winter,rain,57781,37.805,29.02,0.76,9.95,2
Report 67472: Rock thrown at vehicle plus Class B sighting 5 miles north of Quilcene,Washington,2020-08-20,Summer,rain,67472,69.67,61.67,0.82,10,6
Report 2602: Loud vocalizations heard near Stevens Pass,Washington,1970-04-14,Spring,NA,2602,NA,NA,NA,NA,NA
Report 1384: Vocalizations heard by hikers,Washington,1970-05-13,Summer,rain,1384,52.075,39.64,0.74,8.71,7
Report 1383: Creature seen running along a road,Washington,1973-04-18,Spring,rain,1383,44.08,37.55,0.79,9.6,4
Report 24562: Man remembers running home when he and his friend spot a tall hairy creature near Woodinville,Washington,1974-10-16,Fall,NA,24562,56.345,45.41,0.73,7.39,3
Report 4403: Late night encounter by young campers in Maple Valley Wa,Washington,1975-07-31,Summer,NA,4403,63.505,50.06,0.67,9.39,8
"Report 4583: Early afternoon sighting by motorist on US Hwy 2, near Skykomish",Washington,1977-08-14,Summer,NA,4583,71.575,47.43,0.45,8.17,7
"Report 956: Two men, four wheel driving, see Sasquatch on FS road",Washington,1982-11-26,Winter,snow,956,22.41,15.6,0.79,5.8,1
Report 1387: Father and son hear heavy footsteps made by an apparent bipedal creature,Washington,1983-08-17,Summer,NA,1387,63.93000000000001,53.9,0.75,10,8
Report 1385: High pitched wailing scream echoed off mountainside.,Washington,1984-08-15,Summer,NA,1385,65.3,42.66,0.52,8.67,8
Report 1382: Creature observed by hunters,Washington,1984-10-17,Fall,rain,1382,42.565,35.51,0.78,8.2,2
Report 7483: Morning daylight sighting around rural homes near Kent,Washington,1986-12-25,Winter,rain,7483,43.22,38.23,0.85,7.22,1
"Report 1388: Hiker encounters huge, upright animal at creek on Grass Mountain",Washington,1990-06-18,Spring,NA,1388,58.08,44.18,0.65,7.32,8
Report 24755: Truck Driver recalls daylight sighting east of North Bend,Washington,1990-12-03,Winter,rain,24755,44.055,41.33,0.93,7.34,1
Report 27473: Man recounts seeing a sasquatch while driving a logging road near Snoqualmie,Washington,1991-10-15,Fall,NA,27473,63.709999999999994,48.36,0.68,10,3
Report 4859: Daytime sighting by horseback riders one mile from Green River Gorge Bridge,Washington,1992-04-01,Spring,NA,4859,57.489999999999995,45.24,0.69,9.66,5
Report 1841: Fishing guides thought they were chased onto a dam,Washington,1994-09-10,Summer,rain,1841,54.985,50.78,0.88,9.9,4
Report 1389: Hikers hear loud vocal exchanges on Grass Mountain.,Washington,1995-09-13,Fall,NA,1389,58.99,48.57,0.63,9.58,6
Report 1478: Worse than something dead smell encountered by two fishermen,Washington,1996-02-17,Summer,rain,1478,50.43,48.46,0.99,6.56,2
Report 1386: Two unsusual man-like tracks discovered,Washington,1998-05-18,Spring,rain,1386,47.69,31.55,0.59,6.02,4
"Report 4335: Vocalization, followed by sighting near Carnation/Fall City",Washington,1999-06-15,Summer,rain,4335,61.465,54.49,0.8,9.97,7
Report 1815: Hiker encounters intimidating beating sounds and heavy running footsteps,Washington,2000-05-15,Spring,rain,1815,56.28,41.9,0.57,9.79,7
Report 24568: Multiple witness sighting at Rattlesnake Lake,Washington,2000-08-14,Summer,NA,24568,57.605,48.72,0.76,10,6
Report 12138: Hikers report possible stalking and rock/stick throwing in White River drainage near Muckleshoot Reservation,Washington,2002-05-01,Spring,NA,12138,49.56999999999999,43.78,0.81,9.51,4
Report 26255: Woman tells of daylight sighting while hiking near Mud Mountain Dam,Washington,2002-07-15,Summer,NA,26255,62.17,49.05,0.68,9.82,9
NA,Washington,NA,Spring,NA,8532,NA,NA,NA,NA,NA
Report 8670: Hiker hears roar north of Alpental Ski Resort at Snow Lake,Washington,2004-05-25,Summer,rain,8670,51.715,39.84,0.79,8.32,10
NA,Washington,NA,Summer,NA,8730,NA,NA,NA,NA,NA
Report 9121: Outdoorsman hears vocalizations near Tinkham Campground,Washington,2004-07-22,Summer,NA,9121,74.445,53.91,0.59,10,9
Report 9929: Hiker Hears Loud Vocalizations and Thumps,Washington,2004-09-30,Fall,NA,9929,53.045,49.87,0.88,8.93,3
Report 14305: Late night sighting near Duvall,Washington,2005-06-23,Spring,NA,14305,61.14,50.71,0.72,9.95,9
"Report 23062: Angler finds tracks, hears knocks and senses ominous presence east of North Bend",Washington,2005-07-16,Summer,rain,23062,58.83,52.83,0.79,6.22,5
Report 12510: Vocalizations near Scenic interrupt a camper’s quiet evening,Washington,2005-09-12,Summer,NA,12510,52.2,45.75,0.82,NA,0
Report 17847: Possible late night vocalizations heard outside Redmond,Washington,2005-10-12,Fall,rain,17847,54.685,47.54,0.79,10,2
Report 34479: Woman walking dogs hears possible vocalizations and knocks in Marymoor Park,Washington,2007-03-15,Spring,rain,34479,46.21,34.49,0.76,9.97,3
Report 37730: Teen views ape-like animal crossing road quadrupedally at night in Enumclaw,Washington,2008-01-02,Winter,rain,37730,43.665,38.61,0.87,9.51,1
NA,Washington,NA,Summer,NA,24394,NA,NA,NA,NA,NA
"Report 26403: Man sees large, hair-covered figure while riding on train near the Cascade Tunnel",Washington,2009-08-04,Summer,NA,26403,65.655,42.4,0.45,10,8
NA,Washington,NA,Winter,NA,38693,NA,NA,NA,NA,NA
Report 44946: Couple awakened by very loud howls near Maple Valley,Washington,2014-05-02,Spring,rain,44946,58.14,49.08,0.66,10,8
Report 65650: Possible vocalizations on Little Si Trail outside North Bend,Washington,2015-10-31,Fall,rain,65650,52.23,52.31,0.94,9.88,2
Report 51753: Unseen visitor unnerves 3 friends with repeated stick throwing near North Bend,Washington,2016-04-05,Spring,NA,51753,39.24,39.45,0.99,9.56,4
